"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cluster","gene_name"
"ENSG00000164442",6850.05513298112,-0.695640032057427,0.45171247455803,23.8564453720505,6.60144042834527e-06,0.000878005057100542,1,"CITED2"
"ENSG00000164620",204.038765946671,-0.563967367781916,0.382781490955677,13.7718411410751,0.00102207483016902,0.0140826553153633,1,"RELL2"
"ENSG00000164715",3991.02220477681,-0.489542020376616,0.228194753567542,18.5128984779587,9.54937995293757e-05,0.0036963767803232,1,"LMTK2"
"ENSG00000164867",160.706516688051,-1.1574921596197,0.551679799029067,14.3236567827155,0.000775635091449238,0.0119349823387018,1,"NOS3"
"ENSG00000164897",704.645429202841,-0.207780113164946,0.154815945724456,11.1366567409372,0.00381685547107886,0.0297950705050999,1,"TMUB1"
"ENSG00000164951",2427.76985100044,-0.495528964877909,0.211221535554873,12.4605741926289,0.00196888655541628,0.0204859491236871,1,"PDP1"
"ENSG00000164967",186.823594038115,0.200929420497857,0.191452350225215,10.0178445722382,0.00667809650675644,0.0420260432460396,1,"RPP25L"
"ENSG00000165029",3414.3801682667,-0.532256489545689,0.390834145324603,11.6827548001305,0.0029048387438966,0.0253309439345804,1,"ABCA1"
"ENSG00000165389",1853.0894953248,-0.163800258900452,0.236406649054873,20.0348236130395,4.46162771713925e-05,0.00238998983501337,1,"SPTSSA"
"ENSG00000165527",5241.91278821149,-0.343457982440005,0.262839295690172,23.8085971450059,6.76127840581402e-06,0.000878005057100542,1,"ARF6"
"ENSG00000165637",633.552107675667,0.0700825043439172,0.17023087027367,20.8949370367127,2.90216481550476e-05,0.00186691548398466,1,"VDAC2"
"ENSG00000165650",2863.34806441362,-0.1939933459498,0.213465567082115,15.3128306032107,0.000472999937501084,0.00906586027009164,1,"PDZD8"
"ENSG00000165655",438.96827920446,0.0136835853881364,0.255763040117235,15.3635130118199,0.000461164149393186,0.0089362490288626,1,"ZNF503"
"ENSG00000165794",99.4176487146832,-0.620160751220068,0.649033545358591,12.9818854952422,0.00151711807421374,0.0176638371028131,1,"SLC39A2"
"ENSG00000165795",9634.3738085827,-0.526754227785286,0.328957108836938,16.2920947777139,0.000289878876678397,0.00674222667993658,1,"NDRG2"
"ENSG00000165799",1200.2040373257,-1.06993243605391,0.779952298881667,21.6919087043815,1.94832711138662e-05,0.00149738821328743,1,"RNASE7"
"ENSG00000165804",1209.27426420255,-0.231344647300372,0.19731310327256,15.2941848933381,0.000477430266873626,0.00911998450034645,1,"ZNF219"
"ENSG00000165861",877.987655970054,-0.282848577277735,0.19557182457144,21.1675343743561,2.53237672255045e-05,0.00170118212518277,1,"ZFYVE1"
"ENSG00000166016",1003.92972373696,-0.982021011582732,0.530168713606963,21.890296673413,1.76434078599186e-05,0.00143081017850422,1,"ABTB2"
"ENSG00000166024",524.480047393118,-0.308120815784283,0.228472618923126,10.4363252089475,0.00541727366201169,0.0367519857948589,1,"R3HCC1L"
"ENSG00000166025",404.3864554105,-0.469315603043272,0.38191881248363,10.4985075540561,0.00525143567935699,0.0359970243512686,1,"AMOTL1"
"ENSG00000166046",1030.99423073664,-0.26773065308658,0.336417215960417,12.6397922661952,0.00180013047049663,0.0195349765723949,1,"TCP11L2"
"ENSG00000166145",14347.1575359965,-0.569833855003768,0.322764045001184,16.7831252498678,0.00022677264076522,0.00592712752795988,1,"SPINT1"
"ENSG00000166200",1323.85536596022,0.0254102380341632,0.125900634781052,13.0972193907699,0.00143210527743383,0.0171949908367508,1,"COPS2"
"ENSG00000166233",2480.49774192549,-0.245453903517036,0.19560012137859,15.2593423090193,0.000485820591985898,0.00919547584559846,1,"ARIH1"
"ENSG00000166289",1547.41075606487,-0.63088241770035,0.384395250729364,17.4278009552407,0.000164286208464773,0.00489443687353198,1,"PLEKHF1"
"ENSG00000166311",785.174524601073,-0.497228146050874,0.225138114247432,9.51359213729972,0.00859309703271406,0.0488765036444219,1,"SMPD1"
"ENSG00000166396",427.941193685364,-0.726011414830715,0.507903264364121,17.2810736630872,0.000176791969257581,0.00514183444043667,1,"SERPINB7"
"ENSG00000166398",489.220985729219,-0.340353464569177,0.273143363840389,12.3467386294767,0.0020842018250672,0.0209328073453246,1,"KIAA0355"
"ENSG00000166439",738.189890375083,-0.6197536252671,0.310680315956423,18.1076024673529,0.000116945653196362,0.00407735460317021,1,"RNF169"
"ENSG00000166535",2810.55104829768,-0.71215657486569,0.510407734054174,26.0551888910499,2.19880957675129e-06,0.000624658242081005,1,"A2ML1"
"ENSG00000166634",14.3451146184768,-2.21633421149849,1.47421677079641,9.81294767649078,0.00739853080576306,0.0446522103903204,1,"SERPINB12"
"ENSG00000166828",277.352054557476,0.489441583605187,0.474353469889815,16.2335714651797,0.00029848653572739,0.00687210173210862,1,"SCNN1G"
"ENSG00000166855",1868.10631972614,-0.382170656891904,0.237082741313348,14.2143398419988,0.000819210143953949,0.0122951077171353,1,"CLPX"
"ENSG00000166908",2051.76909254987,-0.333544034911199,0.147152563202135,14.252700805142,0.000803647030018962,0.0121186925123902,1,"PIP4K2C"
"ENSG00000166971",476.624392202201,-0.16447942747466,0.224066164966755,14.0980725710675,0.000868245294797846,0.0127779041581304,1,"AKTIP"
"ENSG00000167046",44.3107620825508,-1.0997782746463,0.561030479015224,10.1577672908049,0.00622685651718486,0.0403476633004895,1,"AL357033.1"
"ENSG00000167193",2601.74518525384,-0.258831613907646,0.180054447574303,23.1716153711958,9.29710324276025e-06,0.00101221248442336,1,"CRK"
"ENSG00000167306",5149.78634533499,-0.463198706872123,0.218004588415458,12.7879081014321,0.00167163339334258,0.0186886968760978,1,"MYO5B"
"ENSG00000167323",2353.64961186065,-0.165522257535105,0.0965172395132017,11.3360866042539,0.00345461831142583,0.0279692227564751,1,"STIM1"
"ENSG00000167614",68.9528611406125,-0.488731342748866,0.474315034267948,14.0562513987218,0.000886591964153266,0.0129788792741891,1,"TTYH1"
"ENSG00000167657",1150.82119288958,-0.34027263977655,0.217578066009884,19.8214644005615,4.96390765729009e-05,0.00249251360957467,1,"DAPK3"
"ENSG00000167723",460.53826644227,-1.30508748220226,0.781431333990981,11.6742259739117,0.00291725262646608,0.0253395240981545,1,"TRPV3"
"ENSG00000167754",929.640031736249,-0.426434772066138,0.859489868762703,14.7339685506176,0.000631770555196992,0.0105060469692487,1,"KLK5"
"ENSG00000167755",1784.30797706047,-0.880736672777681,0.748377289824283,12.5988711590627,0.00183734151758302,0.01964399610432,1,"KLK6"
"ENSG00000167767",6913.29970690402,-0.514228081798186,0.480893105837326,23.8511937832579,6.6187972313549e-06,0.000878005057100542,1,"KRT80"
"ENSG00000167768",25.7173682258878,-1.63445743842532,1.21132181238373,15.5009457786901,0.000430538895172462,0.00864928268164958,1,"KRT1"
"ENSG00000167880",3276.24517185665,-0.265592943753093,0.276067545711119,18.6000438030326,9.14222291708053e-05,0.00364520361874271,1,"EVPL"
"ENSG00000167914",73.7428273580549,-0.995177162356719,0.954195815305743,12.1284732669487,0.0023245318071863,0.0221708492329298,1,"GSDMA"
"ENSG00000167968",31.0244099166459,0.2446204922429,1.0258142209723,10.3269294355425,0.00572184073940407,0.0381832065114007,1,"DNASE1L2"
"ENSG00000167977",978.746673696037,-0.144467712055506,0.171568125010678,15.2937875961183,0.000477525117153095,0.00911998450034645,1,"KCTD5"
"ENSG00000168140",1000.17666443695,-0.530549970954219,0.408398465697587,18.3754350816453,0.000102288066806081,0.00381995505825809,1,"VASN"
"ENSG00000168143",261.792309055775,-0.198411918774676,0.29942561958913,14.0626049703224,0.000883779920386166,0.0129585758096069,1,"FAM83B"
"ENSG00000168246",936.867045329052,-0.250748184714156,0.201302123098549,17.1629577998004,0.000187547408365018,0.00530905999942896,1,"UBTD2"
"ENSG00000168298",87.6891635084902,-0.111164325359762,0.68151320295758,15.3413424347503,0.000466304726802059,0.00900296346928878,1,"H1-4"
"ENSG00000168411",588.404023117139,-0.269923114523056,0.149429452303513,10.9199619210884,0.00425363673097274,0.031935397240701,1,"RFWD3"
"ENSG00000168453",649.161446351156,-0.432653362703817,0.431636236600894,15.043877078248,0.000541082638647582,0.00974440982330406,1,"HR"
"ENSG00000168476",864.260866812297,-0.362356714782148,0.255207846408975,13.0428699397445,0.0014715559481094,0.0174870784677057,1,"REEP4"
"ENSG00000168564",772.7490698382,-0.306999505369067,0.23358755925824,12.2312915454432,0.00220804941083615,0.0215967459663865,1,"CDKN2AIP"
"ENSG00000168615",6369.66290771868,-0.316295104784524,0.186335187209695,10.4021585264372,0.00551061380740499,0.0371948897165914,1,"ADAM9"
"ENSG00000168631",37.0918122020135,-1.31869145732923,0.806436032053675,10.3246040154152,0.00572849745037688,0.0381972021765289,1,"MUCL3"
"ENSG00000168672",2960.63562092208,-0.433084720412746,0.277472575121545,21.9997636260052,1.67036748307639e-05,0.00139862506780328,1,"LRATD2"
"ENSG00000168887",576.545604860023,-0.194530308370337,0.160373320347815,11.116023746494,0.00385643586440551,0.0300156742499155,1,"C2orf68"
"ENSG00000169018",2356.00316486087,-0.225556995427678,0.175232537542317,13.9467118751672,0.000936504774754155,0.0133862124542353,1,"FEM1B"
"ENSG00000169032",1739.03934354589,-0.371070709206555,0.23537999716285,22.3996498365715,1.36765903769632e-05,0.00126168629829503,1,"MAP2K1"
"ENSG00000169035",3039.6500459064,-0.801456651605193,0.759291907548574,13.2254981667414,0.00134313468020106,0.0166416897409024,1,"KLK7"
"ENSG00000169155",649.128095698342,-0.419414520298033,0.216271116088088,14.5950083782314,0.000677226897963045,0.0109938803262184,1,"ZBTB43"
"ENSG00000169188",459.300330216942,-0.269229641520473,0.159716050289683,12.5488830111026,0.00188384287582163,0.0199017475710277,1,"APEX2"
"ENSG00000169509",3379.47706989548,-0.361689430968439,0.9126475746296,16.3698135024848,0.000278830426500695,0.00667054624842039,1,"CRCT1"
